,school,applicant_number,sat_low,sat_upper,accept_rate,rate
382,Samford University,3912,1010.0,1230.0,92.9,ok
383,University of Kansas,15093,1040.0,1240.0,93.1,ok
384,University of Kentucky,19324,990.0,1220.0,94.5,ok
385,University of Toledo,10228,1240.0,1520.0,95.1,ok
386,Kansas State University,8140,1160.0,1380.0,95.7,ok
387,Portland State,7821,1230.0,1440.0,96.1,ok
388,Queens University of Charlotte,2319,1245.0,1420.0,96.2,ok
389,Western Kentucky,8245,1200.0,1340.0,97.3,ok
401,Gallaudet University,496,1080.0,1310.0,57.1,ok
402,Florida International,18492,1050.0,1230.0,57.5,ok
403,Morehouse College,3554,1220.0,1420.0,57.9,ok
404,University of Alabama,37302,1220.0,1400.0,59.1,ok
405,Milwaukee School of Engineering,3552,950.0,1130.0,61.7,ok
406,Florida Institute of Technology,9743,990.0,1180.0,65.7,ok
407,Louisiana State University—​Baton Rouge,24501,1050.0,1270.0,74.6,ok
408,The Citadel,2742,1060.0,1280.0,74.7,ok
409,New College of Florida,1340,820.0,1050.0,76.8,ok
